"outcome_x","instrument","transform_id","transform_label","exposure_var","instrument_var","F_partial","R2_first","N","period"
"p0__import__CHN__2000__level_xtlag","chn_wld_minus_idn_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1",1140.92206808002,0.990031340593361,4320,"2000_2015"
"p0__import__CHN__2000__diff_xtlag","chn_wld_minus_idn_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",3109.54496060595,0.970910547804392,4032,"2000_2015"
"p0__import__CHN__2000__difflag_xtlag","chn_wld_minus_idn_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2",2984.97151546465,0.970322830266104,3744,"2000_2015"
"p0__import__CHN__2000__log_xtlag","chn_wld_minus_idn_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1",947.524816793795,0.989020506224761,4320,"2000_2015"
"p0__import__CHN__2000__logdiff_xtlag","chn_wld_minus_idn_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",2943.4971004196,0.970076034430279,4320,"2000_2015"
"p0__import__CHN__2000__logdifflag_xtlag","chn_wld_minus_idn_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2",2869.41728610125,0.970143512357799,4032,"2000_2015"
"p0__import__CHN__2008__level_t","chn_wld_minus_idn_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1",1.34756939378985,0.991378969871866,2016,"2000_2007"
"p0__import__CHN__2008__diff_t","chn_wld_minus_idn_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1",543.432464289381,0.869870333000507,1728,"2000_2007"
"p0__import__CHN__2008__difflag_t","chn_wld_minus_idn_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",1043.77022224349,0.978071951522923,1728,"2000_2007"
"p0__import__CHN__2008__log_t","chn_wld_minus_idn_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1",8.90682853307897,0.991373907107052,2016,"2000_2007"
"p0__import__CHN__2008__logdiff_t","chn_wld_minus_idn_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1",409.841095878014,0.964046469096567,2016,"2000_2007"
"p0__import__CHN__2008__logdifflag_t","chn_wld_minus_idn_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",880.680767153667,0.979522240471511,1728,"2000_2007"
"p0__import__CHN__2008__level_xtlag","chn_wld_minus_idn_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1",794.483919143895,0.992873328398852,2016,"2000_2007"
"p0__import__CHN__2008__diff_xtlag","chn_wld_minus_idn_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",1043.77022224349,0.978071951522923,1728,"2000_2007"
"p0__import__CHN__2008__difflag_xtlag","chn_wld_minus_idn_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2",1244.44346715505,0.981181175322055,1440,"2000_2007"
"p0__import__CHN__2008__log_xtlag","chn_wld_minus_idn_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1",714.240415727229,0.992256082618384,2016,"2000_2007"
"p0__import__CHN__2008__logdiff_xtlag","chn_wld_minus_idn_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",904.82455720463,0.979792664290297,2016,"2000_2007"
"p0__import__CHN__2008__logdifflag_xtlag","chn_wld_minus_idn_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2",929.821211336228,0.98294661424112,1728,"2000_2007"
"p0__import__CHN__2008__level_t","chn_wld_minus_idn_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1",59.779014603283,0.988353017536177,1440,"2008_2012"
"p0__import__CHN__2008__diff_t","chn_wld_minus_idn_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1",85.3645279656299,0.947991215175032,1440,"2008_2012"
"p0__import__CHN__2008__difflag_t","chn_wld_minus_idn_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",688.815610880011,0.97748730911136,1440,"2008_2012"
"p0__import__CHN__2008__log_t","chn_wld_minus_idn_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1",43.0221313073034,0.987903457222073,1440,"2008_2012"
"p0__import__CHN__2008__logdiff_t","chn_wld_minus_idn_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1",60.9884017218337,0.944225968061943,1440,"2008_2012"
"p0__import__CHN__2008__logdifflag_t","chn_wld_minus_idn_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",702.86767521704,0.976321337443806,1440,"2008_2012"
"p0__import__CHN__2008__level_xtlag","chn_wld_minus_idn_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1",1359.36907942242,0.988283321063211,1440,"2008_2012"
"p0__import__CHN__2008__diff_xtlag","chn_wld_minus_idn_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",688.815610880011,0.97748730911136,1440,"2008_2012"
"p0__import__CHN__2008__difflag_xtlag","chn_wld_minus_idn_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2",1093.767866163,0.953512269597269,1440,"2008_2012"
"p0__import__CHN__2008__log_xtlag","chn_wld_minus_idn_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1",994.072713616903,0.9861804627742,1440,"2008_2012"
"p0__import__CHN__2008__logdiff_xtlag","chn_wld_minus_idn_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",702.86767521704,0.976321337443806,1440,"2008_2012"
"p0__import__CHN__2008__logdifflag_xtlag","chn_wld_minus_idn_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2",1270.64485234335,0.957144989604911,1440,"2008_2012"
"p0__import__CHN__2008__level_t","chn_wld_minus_idn_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1",365.599594137432,0.986834729984563,4320,"2000_2015"
"p0__import__CHN__2008__diff_t","chn_wld_minus_idn_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1",446.526758398171,0.958158066159239,4032,"2000_2015"
"p0__import__CHN__2008__difflag_t","chn_wld_minus_idn_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",3004.0165869966,0.97920749129705,4032,"2000_2015"
"p0__import__CHN__2008__log_t","chn_wld_minus_idn_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1",321.320003228638,0.987093769488606,4320,"2000_2015"
"p0__import__CHN__2008__logdiff_t","chn_wld_minus_idn_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1",277.716026060152,0.964332589043167,4320,"2000_2015"
"p0__import__CHN__2008__logdifflag_t","chn_wld_minus_idn_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",2780.01348414684,0.979009938526634,4032,"2000_2015"
"p0__import__CHN__2008__level_xtlag","chn_wld_minus_idn_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1",1032.53900414318,0.992605167463394,4320,"2000_2015"
"p0__import__CHN__2008__diff_xtlag","chn_wld_minus_idn_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",3004.0165869966,0.97920749129705,4032,"2000_2015"
"p0__import__CHN__2008__difflag_xtlag","chn_wld_minus_idn_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2",2772.85925816139,0.9792951617666,3744,"2000_2015"
"p0__import__CHN__2008__log_xtlag","chn_wld_minus_idn_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1",888.646726206496,0.991952166575239,4320,"2000_2015"
"p0__import__CHN__2008__logdiff_xtlag","chn_wld_minus_idn_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",2791.35485607523,0.979000608526476,4320,"2000_2015"
"p0__import__CHN__2008__logdifflag_xtlag","chn_wld_minus_idn_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2",2675.94563988672,0.97954034761148,4032,"2000_2015"
"p0__import__CHN__2000__level_t","usa_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1",4.33725314677788e-05,0.988187003605028,2016,"2000_2007"
"p0__import__CHN__2000__diff_t","usa_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1",0.666784878002812,0.771519373175518,1728,"2000_2007"
"p0__import__CHN__2000__difflag_t","usa_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",24.1349386432363,0.934714999664135,1728,"2000_2007"
"p0__import__CHN__2000__log_t","usa_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1",0.0241703936509465,0.987790413102242,2016,"2000_2007"
"p0__import__CHN__2000__logdiff_t","usa_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1",1.78700179357849,0.932861972011534,2016,"2000_2007"
"p0__import__CHN__2000__logdifflag_t","usa_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",10.3640572795562,0.94085513963603,1728,"2000_2007"
"p0__import__CHN__2000__level_xtlag","usa_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1",16.8399505922854,0.983085976263053,2016,"2000_2007"
"p0__import__CHN__2000__diff_xtlag","usa_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",24.1349386432363,0.934714999664135,1728,"2000_2007"
"p0__import__CHN__2000__difflag_xtlag","usa_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2",35.8666141276059,0.940620685958538,1440,"2000_2007"
"p0__import__CHN__2000__log_xtlag","usa_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1",11.8556053941841,0.982398286511911,2016,"2000_2007"
"p0__import__CHN__2000__logdiff_xtlag","usa_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",10.174920353879,0.941657960133588,2016,"2000_2007"
"p0__import__CHN__2000__logdifflag_xtlag","usa_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2",24.4910231757661,0.950143191925275,1728,"2000_2007"
"p0__import__CHN__2000__level_t","usa_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1",0.00162500968750786,0.983911760680371,1440,"2008_2012"
"p0__import__CHN__2000__diff_t","usa_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1",0.706674530878051,0.908727879502612,1440,"2008_2012"
"p0__import__CHN__2000__difflag_t","usa_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",1.1389558827694,0.935222780498743,1440,"2008_2012"
"p0__import__CHN__2000__log_t","usa_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1",1.00502306465619,0.98348813031102,1440,"2008_2012"
"p0__import__CHN__2000__logdiff_t","usa_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1",0.686120092956614,0.904082824246172,1440,"2008_2012"
"p0__import__CHN__2000__logdifflag_t","usa_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",0.00199513529894109,0.934422705011076,1440,"2008_2012"
"p0__import__CHN__2000__level_xtlag","usa_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1",0.617059543681258,0.97059665643594,1440,"2008_2012"
"p0__import__CHN__2000__diff_xtlag","usa_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",1.1389558827694,0.935222780498743,1440,"2008_2012"
"p0__import__CHN__2000__difflag_xtlag","usa_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2",2.12396711617274,0.869356441933369,1440,"2008_2012"
"p0__import__CHN__2000__log_xtlag","usa_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1",0.494671834331833,0.969916020754769,1440,"2008_2012"
"p0__import__CHN__2000__logdiff_xtlag","usa_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",0.00199513529894109,0.934422705011076,1440,"2008_2012"
"p0__import__CHN__2000__logdifflag_xtlag","usa_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2",8.59833886472386,0.879606354666977,1440,"2008_2012"
"p0__import__CHN__2000__level_t","usa_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1",9.69247512294964,0.977962663140564,4320,"2000_2015"
"p0__import__CHN__2000__diff_t","usa_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1",0.831111148990748,0.931579065727595,4032,"2000_2015"
"p0__import__CHN__2000__difflag_t","usa_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",13.2020584111865,0.939380040998296,4032,"2000_2015"
"p0__import__CHN__2000__log_t","usa_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1",4.17693132283349,0.978568854244783,4320,"2000_2015"
"p0__import__CHN__2000__logdiff_t","usa_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1",3.54553948670199,0.94262464720817,4320,"2000_2015"
"p0__import__CHN__2000__logdifflag_t","usa_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",2.16427000298694,0.943189922836245,4032,"2000_2015"
"p0__import__CHN__2000__level_xtlag","usa_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1",4.04085291173867,0.979172416157553,4320,"2000_2015"
"p0__import__CHN__2000__diff_xtlag","usa_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",13.2020584111865,0.939380040998296,4032,"2000_2015"
"p0__import__CHN__2000__difflag_xtlag","usa_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2",13.0832451303437,0.938285944956387,3744,"2000_2015"
"p0__import__CHN__2000__log_xtlag","usa_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1",2.59659084762888,0.979414162390133,4320,"2000_2015"
"p0__import__CHN__2000__logdiff_xtlag","usa_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",2.16420195056887,0.943142651812825,4320,"2000_2015"
"p0__import__CHN__2000__logdifflag_xtlag","usa_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2",1.89057297512236,0.942952139114187,4032,"2000_2015"
"p0__import__CHN__2008__level_t","usa_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1",0.818857929026195,0.991373575796832,2016,"2000_2007"
"p0__import__CHN__2008__diff_t","usa_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1",0.484764554862287,0.823597235859522,1728,"2000_2007"
"p0__import__CHN__2008__difflag_t","usa_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",38.5243269350146,0.956322475788708,1728,"2000_2007"
"p0__import__CHN__2008__log_t","usa_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1",1.00488342857782,0.991302106394949,2016,"2000_2007"
"p0__import__CHN__2008__logdiff_t","usa_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1",0.0457385610467284,0.955959292394246,2016,"2000_2007"
"p0__import__CHN__2008__logdifflag_t","usa_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",24.7203673280069,0.961463287325636,1728,"2000_2007"
"p0__import__CHN__2008__level_xtlag","usa_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1",24.0060481455413,0.987190983654535,2016,"2000_2007"
"p0__import__CHN__2008__diff_xtlag","usa_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",38.5243269350146,0.956322475788708,1728,"2000_2007"
"p0__import__CHN__2008__difflag_xtlag","usa_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2",49.6202713868973,0.959523547753993,1440,"2000_2007"
"p0__import__CHN__2008__log_xtlag","usa_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1",18.944691875543,0.986886800713328,2016,"2000_2007"
"p0__import__CHN__2008__logdiff_xtlag","usa_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",24.9406262952302,0.96197785361526,2016,"2000_2007"
"p0__import__CHN__2008__logdifflag_xtlag","usa_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2",37.3072106699568,0.966613679297611,1728,"2000_2007"
"p0__import__CHN__2008__level_t","usa_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1",11.2495061614826,0.987589004948028,1440,"2008_2012"
"p0__import__CHN__2008__diff_t","usa_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1",0.864340500829518,0.944425897848646,1440,"2008_2012"
"p0__import__CHN__2008__difflag_t","usa_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",2.32341340006946e-05,0.959520955121936,1440,"2008_2012"
"p0__import__CHN__2008__log_t","usa_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1",6.30558858157944,0.98731173358947,1440,"2008_2012"
"p0__import__CHN__2008__logdiff_t","usa_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1",0.751480561561355,0.941737692371119,1440,"2008_2012"
"p0__import__CHN__2008__logdifflag_t","usa_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1",0.258393045843399,0.958985561694382,1440,"2008_2012"
"p0__import__CHN__2008__level_xtlag","usa_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1",16.9657063032518,0.976055219202133,1440,"2008_2012"
"p0__import__CHN__2008__diff_xtlag","usa_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1",2.32341340006946e-05,0.959520955121936,1440,"2008_2012"
"p0__import__CHN__2008__difflag_xtlag","usa_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2",1.71791044517677,0.904603126339655,1440,"2008_2012"
"p0__import__CHN__2008__log_xtlag","usa_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1",15.7064487383731,0.975624011828199,1440,"2008_2012"
