"table_id","outcome","outcome_var","flow","partner","base_year","period","iv_label","transform_id","transform_label","exposure_var","instrument_var","x_timing","coef","se","N","clusters","fe_flags"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__level_xtlag","p2","p2_level","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1","t-1",-2.76095690176726e-07,2.02009775870823e-07,1440,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__diff_xtlag","p2","p2_diff","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t-1",-5.42722566099312e-07,2.77745038663963e-07,1440,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__difflag_xtlag","p2","p2_diff_lag1","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2","t-2",-4.65287923502741e-07,3.02101646291579e-07,1440,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__log_xtlag","p2","p2_log","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1","t-1",1.48008683736125,4.07036843472967,1440,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__logdiff_xtlag","p2","p2_log_diff","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t-1",-1.19195819381142,5.68872901558852,1440,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2008_2012__logdifflag_xtlag","p2","p2_log_diff_lag1","import","CHN",2000,"2008_2012","chn_wld_minus_idn_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2","t-2",-1.73175211621867,6.07851566202284,1440,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__level_t","p2","p2_level","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1","t",-5.71834197116332e-08,1.30766939474717e-07,4320,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__diff_t","p2","p2_diff","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1","t",4.07990631699602e-07,3.10678314387869e-07,4032,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__difflag_t","p2","p2_diff_lag1","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t",2.43999812516237e-07,1.62623522100152e-07,4032,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__log_t","p2","p2_log","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1","t",-5.14117367106645,3.11552412664106,4320,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__logdiff_t","p2","p2_log_diff","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1","t",15.948760766806,8.5105447018265,4320,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__logdifflag_t","p2","p2_log_diff_lag1","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t",9.13684281559735,3.7537392363527,4032,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__level_xtlag","p2","p2_level","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1","t-1",-3.78156448135946e-08,8.66390715672715e-08,4320,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__diff_xtlag","p2","p2_diff","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t-1",-1.94880229445039e-07,1.4704930796011e-07,4032,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__difflag_xtlag","p2","p2_diff_lag1","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2","t-2",-2.05200506093525e-07,1.57451554887754e-07,3744,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__log_xtlag","p2","p2_log","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1","t-1",-3.35610316471006,2.02187003261778,4320,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__logdiff_xtlag","p2","p2_log_diff","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t-1",-6.52344641437111,3.48227459216148,4320,288,"district_bps_2000+year"
"p2__import__CHN__2000__chn_wld_minus_idn_lag1__2000_2015__logdifflag_xtlag","p2","p2_log_diff_lag1","import","CHN",2000,"2000_2015","chn_wld_minus_idn_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2","t-2",-7.1015560790073,3.63483569359042,4032,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__level_t","p2","p2_level","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1","t",-1.05603669635653e-06,4.3402009773089e-06,2016,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__diff_t","p2","p2_diff","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1","t",-4.83155979502087e-08,3.93571693986543e-07,1728,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__difflag_t","p2","p2_diff_lag1","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t",1.47540213861349e-08,3.0955475664609e-07,1728,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__log_t","p2","p2_log","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1","t",-35.2092349961871,39.8448826830278,2016,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__logdiff_t","p2","p2_log_diff","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1","t",24.0042518799689,10.8879462994851,2016,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__logdifflag_t","p2","p2_log_diff_lag1","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t",19.9757935502228,7.25008863280558,1728,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__level_xtlag","p2","p2_level","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1","t-1",-5.66065752152651e-08,2.28573889712557e-07,2016,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__diff_xtlag","p2","p2_diff","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t-1",3.38705018916987e-08,2.75887251133347e-07,1728,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__difflag_xtlag","p2","p2_diff_lag1","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2","t-2",1.31201275904655e-07,2.8644372604525e-07,1440,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__log_xtlag","p2","p2_log","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1","t-1",-5.27905603761252,5.56132783323025,2016,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__logdiff_xtlag","p2","p2_log_diff","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t-1",-16.0377163240429,7.2384838775682,2016,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2007__logdifflag_xtlag","p2","p2_log_diff_lag1","import","CHN",2008,"2000_2007","chn_wld_minus_idn_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2","t-2",-15.5241533882213,7.5104878258291,1728,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__level_t","p2","p2_level","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1","t",-2.67402217635824e-08,5.84293233488807e-07,1440,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__diff_t","p2","p2_diff","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1","t",-6.210583500657e-07,9.52525626576402e-07,1440,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__difflag_t","p2","p2_diff_lag1","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t",1.07353611026738e-07,3.77988211733209e-07,1440,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__log_t","p2","p2_log","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1","t",-2.65914771772108,13.5950275249545,1440,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__logdiff_t","p2","p2_log_diff","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1","t",24.8939333562111,24.4177162159581,1440,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__logdifflag_t","p2","p2_log_diff_lag1","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t",3.4937888265791,7.13712297471279,1440,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__level_xtlag","p2","p2_level","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1","t-1",-1.05040481578573e-08,2.29625500367295e-07,1440,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__diff_xtlag","p2","p2_diff","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t-1",2.30605649754224e-07,3.52025813681258e-07,1440,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__difflag_xtlag","p2","p2_diff_lag1","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2","t-2",1.54991083522918e-07,4.14843095764323e-07,1440,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__log_xtlag","p2","p2_log","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1","t-1",-0.928952437830446,4.75287255615917,1440,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__logdiff_xtlag","p2","p2_log_diff","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t-1",-7.77541862456605,7.58009667674034,1440,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2008_2012__logdifflag_xtlag","p2","p2_log_diff_lag1","import","CHN",2008,"2008_2012","chn_wld_minus_idn_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2","t-2",-8.0877550680828,7.51589001009851,1440,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__level_t","p2","p2_level","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1","t",-6.15558227419867e-08,1.4427525397663e-07,4320,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__diff_t","p2","p2_diff","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1","t",1.54620229284937e-07,4.28157605808813e-07,4032,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__difflag_t","p2","p2_diff_lag1","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t",1.58158815946648e-07,2.07596847523151e-07,4032,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__log_t","p2","p2_log","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1","t",-3.48958259665347,3.148673349197,4320,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__logdiff_t","p2","p2_log_diff","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1","t",22.7012438456586,10.4471108616399,4320,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__logdifflag_t","p2","p2_log_diff_lag1","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t",10.5570056631005,4.79244069522572,4032,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__level_xtlag","p2","p2_level","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1","t-1",-4.55588622523545e-08,1.0703557084639e-07,4320,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__diff_xtlag","p2","p2_diff","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t-1",-7.37956000771079e-08,2.0435605179589e-07,4032,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__difflag_xtlag","p2","p2_diff_lag1","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2","t-2",-1.45451576797518e-08,2.12731086571886e-07,3744,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__log_xtlag","p2","p2_log","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","log_xtlag","Log (y_t, x_{t-1})","exposure_log_lag1","instrument_log_lag1","t-1",-2.53735397964552,2.28718924520018,4320,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__logdiff_xtlag","p2","p2_log_diff","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","logdiff_xtlag","Δ Log (y_t, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t-1",-9.28740367076616,4.27906421080191,4320,288,"district_bps_2000+year"
"p2__import__CHN__2008__chn_wld_minus_idn_lag1__2000_2015__logdifflag_xtlag","p2","p2_log_diff_lag1","import","CHN",2008,"2000_2015","chn_wld_minus_idn_lag1","logdifflag_xtlag","Δ Log lag (y_{t-1}, x_{t-2})","exposure_log_diff_lag2","instrument_log_diff_lag2","t-2",-10.1422388300814,4.3328021865762,4032,288,"district_bps_2000+year"
"p2__import__CHN__2000__usa_lag1__2000_2007__level_t","p2","p2_level","import","CHN",2000,"2000_2007","usa_lag1","level_t","Level (y_t, x_t)","exposure_level","instrument_level_lag1","t",-0.000385094636073924,0.0584909163861229,2016,288,"district_bps_2000+year"
"p2__import__CHN__2000__usa_lag1__2000_2007__diff_t","p2","p2_diff","import","CHN",2000,"2000_2007","usa_lag1","diff_t","Δ Level (y_t, x_t)","exposure_level_diff","instrument_level_diff_lag1","t",1.83674033364316e-06,8.21052342866e-06,1728,288,"district_bps_2000+year"
"p2__import__CHN__2000__usa_lag1__2000_2007__difflag_t","p2","p2_diff_lag1","import","CHN",2000,"2000_2007","usa_lag1","difflag_t","Δ Level lag (y_{t-1}, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t",8.98802242267009e-07,1.35721461482622e-06,1728,288,"district_bps_2000+year"
"p2__import__CHN__2000__usa_lag1__2000_2007__log_t","p2","p2_log","import","CHN",2000,"2000_2007","usa_lag1","log_t","Log (y_t, x_t)","exposure_log","instrument_log_lag1","t",-35.3693491106358,623.133748367561,2016,288,"district_bps_2000+year"
"p2__import__CHN__2000__usa_lag1__2000_2007__logdiff_t","p2","p2_log_diff","import","CHN",2000,"2000_2007","usa_lag1","logdiff_t","Δ Log (y_t, x_t)","exposure_log_diff","instrument_log_diff_lag1","t",71.0992418521739,84.2231173602852,2016,288,"district_bps_2000+year"
"p2__import__CHN__2000__usa_lag1__2000_2007__logdifflag_t","p2","p2_log_diff_lag1","import","CHN",2000,"2000_2007","usa_lag1","logdifflag_t","Δ Log lag (y_{t-1}, x_{t-1})","exposure_log_diff_lag1","instrument_log_diff_lag1","t",-74.4498677738945,45.8033064996383,1728,288,"district_bps_2000+year"
"p2__import__CHN__2000__usa_lag1__2000_2007__level_xtlag","p2","p2_level","import","CHN",2000,"2000_2007","usa_lag1","level_xtlag","Level (y_t, x_{t-1})","exposure_level_lag1","instrument_level_lag1","t-1",6.00607081226984e-07,1.34162306300955e-06,2016,288,"district_bps_2000+year"
"p2__import__CHN__2000__usa_lag1__2000_2007__diff_xtlag","p2","p2_diff","import","CHN",2000,"2000_2007","usa_lag1","diff_xtlag","Δ Level (y_t, x_{t-1})","exposure_level_diff_lag1","instrument_level_diff_lag1","t-1",2.97336642494727e-07,1.29862198964492e-06,1728,288,"district_bps_2000+year"
"p2__import__CHN__2000__usa_lag1__2000_2007__difflag_xtlag","p2","p2_diff_lag1","import","CHN",2000,"2000_2007","usa_lag1","difflag_xtlag","Δ Level lag (y_{t-1}, x_{t-2})","exposure_level_diff_lag2","instrument_level_diff_lag2","t-2",-4.89876151810248e-08,1.04819358824725e-06,1440,288,"district_bps_2000+year"
